Mergi aproximativ 181.6 metri, apoi Inainte
Mergi aproximativ 168.6 metri, apoi Inainte
Mergi aproximativ 49.1 metri, apoi La stanga
Mergi aproximativ 21.6 metri, apoi La dreapta
Mergi aproximativ 47.7 metri, apoi La stanga
Mergi aproximativ 59.4 metri, apoi Inainte
Mergi aproximativ 332.6 metri, apoi Inainte
Mergi aproximativ 43.8 metri, apoi La stanga
Mergi aproximativ 79.2 metri, apoi Inainte
Mergi aproximativ 82.2 metri, apoi Inainte
Mergi aproximativ 38.1 metri, apoi La dreapta
Mergi aproximativ 56.9 metri, apoi Inainte
Mergi aproximativ 34.5 metri, apoi Inainte
Mergi aproximativ 177.7 metri, apoi Inainte
Mergi aproximativ 25.7 metri, apoi Inainte
Mergi aproximativ 116.0 metri, apoi Inainte
Mergi aproximativ 49.6 metri, apoi Inainte
Mergi aproximativ 47.1 metri, apoi La stanga
Mergi aproximativ 9.4 metri, apoi La dreapta
Mergi aproximativ 67.7 metri, apoi Inainte
Mergi aproximativ 23.3 metri, apoi Inainte
Mergi aproximativ 28.7 metri, apoi Inainte
Mergi aproximativ 14.2 metri, apoi La stanga
Mergi aproximativ 231.3 metri, apoi Inainte
Mergi aproximativ 46.4 metri, apoi Inainte
Mergi aproximativ 8.1 metri, apoi Inainte
Mergi aproximativ 5.3 metri, apoi Inainte
Mergi aproximativ 29.5 metri, apoi Inainte
Mergi aproximativ 89.8 metri, apoi Inainte
Mergi aproximativ 33.4 metri, apoi Inainte
Mergi aproximativ 39.7 metri, apoi Inainte
Mergi aproximativ 49.7 metri, apoi Inainte
Mergi aproximativ 20.2 metri, apoi Inainte
Mergi aproximativ 2.2 metri, apoi Inainte
Mergi aproximativ 55.6 metri, apoi Inainte
Mergi aproximativ 59.2 metri, apoi Inainte
Mergi aproximativ 17.4 metri, apoi La dreapta
Mergi aproximativ 15.1 metri, apoi La stanga
Mergi aproximativ 76.2 metri, apoi Inainte
Mergi aproximativ 54.3 metri, apoi Inainte
Mergi aproximativ 73.2 metri, apoi Inainte
Mergi aproximativ 68.6 metri, apoi Inainte
Mergi aproximativ 29.5 metri, apoi Inainte
Mergi aproximativ 5.3 metri, apoi Inainte
Mergi aproximativ 9.9 metri, apoi Inainte
Mergi aproximativ 110.3 metri, apoi Inainte
Mergi aproximativ 114.5 metri, apoi La dreapta
Mergi aproximativ 12.0 metri, apoi La stanga
Mergi aproximativ 8.1 metri, apoi Inainte
Mergi aproximativ 12.1 metri, apoi Inainte
Mergi aproximativ 6.8 metri, apoi La stanga
Mergi aproximativ 7.8 metri, apoi La dreapta
Mergi aproximativ 97.7 metri, apoi Inainte
Mergi aproximativ 118.2 metri, apoi Inainte
Mergi aproximativ 6.2 metri, apoi Inainte
Mergi aproximativ 60.1 metri, apoi Inainte
Mergi aproximativ 16.8 metri, apoi Inainte
Mergi aproximativ 16.6 metri, apoi Inainte
Mergi aproximativ 33.3 metri, apoi Inainte
Mergi aproximativ 58.4 metri, apoi La dreapta
Mergi aproximativ 36.9 metri, apoi La dreapta
Mergi aproximativ 11.5 metri, apoi La dreapta
