Mergi aproximativ 181.6 metri, apoi Inainte
Mergi aproximativ 168.6 metri, apoi Inainte
Mergi aproximativ 49.1 metri, apoi La stanga
Mergi aproximativ 21.6 metri, apoi La dreapta
Mergi aproximativ 47.7 metri, apoi La stanga
Mergi aproximativ 59.4 metri, apoi Inainte
Mergi aproximativ 332.6 metri, apoi Inainte
Mergi aproximativ 43.8 metri, apoi La stanga
Mergi aproximativ 79.2 metri, apoi Inainte
Mergi aproximativ 82.2 metri, apoi Inainte
Mergi aproximativ 38.1 metri, apoi La dreapta
Mergi aproximativ 56.9 metri, apoi Inainte
Mergi aproximativ 34.5 metri, apoi Inainte
Mergi aproximativ 177.7 metri, apoi Inainte
Mergi aproximativ 25.7 metri, apoi Inainte
Mergi aproximativ 116.0 metri, apoi Inainte
Mergi aproximativ 49.6 metri, apoi Inainte
Mergi aproximativ 47.1 metri, apoi La stanga
Mergi aproximativ 9.4 metri, apoi La dreapta
Mergi aproximativ 67.7 metri, apoi Inainte
Mergi aproximativ 23.3 metri, apoi Inainte
Mergi aproximativ 28.7 metri, apoi Inainte
Mergi aproximativ 14.2 metri, apoi La stanga
Mergi aproximativ 231.3 metri, apoi Inainte
Mergi aproximativ 46.4 metri, apoi Inainte
Mergi aproximativ 8.1 metri, apoi La dreapta
Mergi aproximativ 12.6 metri, apoi La stanga
Mergi aproximativ 15.3 metri, apoi Inainte
Mergi aproximativ 170.3 metri, apoi La dreapta
Mergi aproximativ 41.3 metri, apoi La stanga
Mergi aproximativ 32.1 metri, apoi La stanga
Mergi aproximativ 13.1 metri, apoi La dreapta
Mergi aproximativ 7.1 metri, apoi Inainte
Mergi aproximativ 48.2 metri, apoi Inainte
Mergi aproximativ 5.6 metri, apoi La stanga
Mergi aproximativ 33.8 metri, apoi La dreapta
Mergi aproximativ 56.2 metri, apoi Inainte
Mergi aproximativ 9.8 metri, apoi Inainte
Mergi aproximativ 45.8 metri, apoi La dreapta
Mergi aproximativ 49.2 metri, apoi Inainte
Mergi aproximativ 35.3 metri, apoi La stanga
Mergi aproximativ 34.8 metri, apoi La stanga
Mergi aproximativ 33.3 metri, apoi La dreapta
Mergi aproximativ 34.6 metri, apoi Inainte
Mergi aproximativ 37.7 metri, apoi La dreapta
Mergi aproximativ 23.3 metri, apoi Inainte
Mergi aproximativ 59.0 metri, apoi La stanga
Mergi aproximativ 77.0 metri, apoi Inainte
Mergi aproximativ 24.6 metri, apoi Inainte
Mergi aproximativ 16.2 metri, apoi La dreapta
Mergi aproximativ 2.6 metri, apoi La stanga
Mergi aproximativ 78.8 metri, apoi Inainte
Mergi aproximativ 18.3 metri, apoi Inainte
Mergi aproximativ 43.2 metri, apoi Inainte
Mergi aproximativ 82.0 metri, apoi Inainte
Mergi aproximativ 4.9 metri, apoi Inainte
Mergi aproximativ 4.7 metri, apoi La stanga
Mergi aproximativ 13.1 metri, apoi La dreapta
Mergi aproximativ 14.5 metri, apoi Inainte
Mergi aproximativ 20.6 metri, apoi Inainte
Mergi aproximativ 85.4 metri, apoi Inainte
Mergi aproximativ 6.1 metri, apoi Inainte
Mergi aproximativ 83.4 metri, apoi Inainte
Mergi aproximativ 2.1 metri, apoi Inainte
Mergi aproximativ 47.8 metri, apoi Inainte
Mergi aproximativ 17.8 metri, apoi La dreapta
Mergi aproximativ 101.0 metri, apoi Inainte
Mergi aproximativ 53.1 metri, apoi La stanga
Mergi aproximativ 105.4 metri, apoi Inainte
Mergi aproximativ 34.1 metri, apoi Inainte
Mergi aproximativ 4.4 metri, apoi La dreapta
Mergi aproximativ 7.7 metri, apoi La stanga
Mergi aproximativ 12.4 metri, apoi Inainte
Mergi aproximativ 9.8 metri, apoi La stanga
Mergi aproximativ 6.7 metri, apoi La dreapta
Mergi aproximativ 115.5 metri, apoi Inainte
Mergi aproximativ 7.3 metri, apoi Inainte
Mergi aproximativ 7.6 metri, apoi Inainte
Mergi aproximativ 112.9 metri, apoi Inainte
Mergi aproximativ 6.2 metri, apoi La dreapta
Mergi aproximativ 6.8 metri, apoi La stanga
Mergi aproximativ 6.7 metri, apoi La dreapta
Mergi aproximativ 31.8 metri, apoi La stanga
Mergi aproximativ 27.2 metri, apoi Inainte
Mergi aproximativ 51.6 metri, apoi La dreapta
Mergi aproximativ 6.7 metri, apoi La stanga
Mergi aproximativ 5.0 metri, apoi La dreapta
Mergi aproximativ 6.1 metri, apoi La stanga
Mergi aproximativ 4.8 metri, apoi Inainte
Mergi aproximativ 107.7 metri, apoi Inainte
